Dataset,Sample_ID,Dataset_type,Date,Latitude,Longitude,Depth,Filter_fraction,SAR11,Growth_measure,Copiotrophs,Phototrophs,Estimate,Temperature,Phosphate,Nitrate,Ammonium,Chlorophyll,DOC,DIC,POC,Nitrite,Nitrate_Nitrite,Salinity,Oxygen,pH,Nitrogen_dioxide,Silicate,Day_lenght,Insolation,Chlorophyll_bis,SAR11_RA,CN1_RA
SOLA,3/26/07_Med,time,3/26/07,42.516667,3.183333,5.4,FL,yes,WMGR,yes,yes,0.093942135,12.34,0,0.47,0.87,0.86,,,,,,38.099,6.41,7.99,0.13,0.08,12.42,,,0.801400817,0.821361239
SOLA,4/10/07_Med,time,4/10/07,42.516667,3.183333,5.4,FL,yes,WMGR,yes,yes,0.086968128,13.31,0,0.57,0.38,0.43,,,,,,37.773,6.1,8.12,0.12,0.41,13.13,,,0.86707798,0.86707798
SOLA,4/16/07_Med,time,4/16/07,42.516667,3.183333,5.4,FL,yes,WMGR,yes,yes,0.120509965,14.35,0.01,2.11,1.27,2.1,,,,,,36.255,6.23,8.12,0.14,0.77,13.42,,,0.088921913,0.088921913
SOLA,4/23/07_Med,time,4/23/07,42.516667,3.183333,5.4,FL,yes,WMGR,yes,yes,0.108341147,15.31,0.01,0.49,0.3,0.86,,,,,,36.747,6.56,8.19,0.06,1.18,13.73,,,0.392735623,0.429502362
SOLA,5/2/07_Med,time,5/2/07,42.516667,3.183333,5.4,FL,yes,WMGR,yes,yes,0.098844535,17.74,0,0.72,1.26,0.3,,,,,,36.494,6.47,8.19,0.06,0.12,14.1,,,0.591193136,0.67780368
SOLA,5/9/07_Med,time,5/9/07,42.516667,3.183333,5.4,FL,yes,WMGR,yes,yes,0.099713841,15.92,0,0.7,0.26,0.38,,,,,,36.838,6.04,8.14,0.07,0.39,14.38,,,0.764480224,0.784450395
SOLA,5/14/07_Med,time,5/14/07,42.516667,3.183333,5.4,FL,yes,WMGR,yes,yes,,16.61,0,0.29,1.35,0.38,,,,,,37.01,6.03,8.19,0.07,0.3,14.57,,,,
SOLA,5/21/07_Med,time,5/21/07,42.516667,3.183333,5.4,FL,yes,WMGR,yes,yes,0.111403801,16.73,0,0,0.13,0.55,,,,,,37.432,6.22,8.03,0,0.06,14.8,,,0.476727577,0.518912714
SOLA,5/28/07_Med,time,5/28/07,42.516667,3.183333,5.4,FL,yes,WMGR,yes,yes,0.084791386,16.2,0.02,0.3,1.09,0.33,,,,,,37.734,5.73,8.15,0.03,0.49,15.02,,,0.900674149,0.932095703
SOLA,6/4/07_Med,time,6/4/07,42.516667,3.183333,5.4,FL,yes,WMGR,yes,yes,0.141474981,16.45,0.02,0.06,1.31,0.33,,,,,,37.802,5.91,8.11,0,0.49,15.13,,,0.260647676,0.270796986
SOLA,7/2/07_Med,time,7/2/07,42.516667,3.183333,5.4,FL,yes,WMGR,yes,yes,,20.18,0,0.03,0.41,0.08,,,,,,37.359,5.62,8.04,0,,15.22,,,,
SOLA,9/3/07_Med,time,9/3/07,42.516667,3.183333,5.4,FL,yes,WMGR,yes,yes,,19.21,0.04,0.16,0.29,,,,,,,38.019,4.97,8.09,0,1.24,13.38,,,,
SOLA,3/10/08_Med,time,3/10/08,42.516667,3.183333,5.4,FL,yes,WMGR,yes,yes,0.10335856,11.17,0.02,1.27,0.09,0.63,,,,,,37.68,6.77,8.35,0.24,0.88,11.7,,,0.471684174,0.502975678
SOLA,4/2/08_Med,time,4/2/08,42.516667,3.183333,5.4,FL,yes,WMGR,yes,yes,0.104202942,12,0.06,0.21,0.05,2.61,,,,,,38.116,6.52,8.23,0.03,0.66,12.8,,,0.737243216,0.762468684
SOLA,5/19/08_Med,time,5/19/08,42.516667,3.183333,5.4,FL,yes,WMGR,yes,yes,0.108309709,17.31,0.03,2.87,0.29,0.44,,,,,,35.621,5.87,8.21,0.14,1.21,14.77,,,0.404111048,0.451124427
