Sample,Temperature,Depth,Salinity,Longitude,Latitude,Filter Fraction
ERR1102990,8.1406,20,33.0005,-66.4633,-51.0557,a
ERR1102991,8.1243,40,33.0021,-66.4633,-51.0557,a
ERR1102992,8.0777,60,33.0078,-66.4633,-51.0557,a
ERR1102993,8.0737,100,33.0087,-66.4633,-51.0557,a
ERR1102994,10.3461,20,33.4922,-61.9227,-47.9412,a
ERR1102995,9.7624,40,33.5756,-61.9227,-47.9412,a
ERR1102996,8.2321,60,33.5577,-61.9227,-47.9412,a
ERR1102997,6.1671,100,33.6264,-61.9227,-47.9412,a
ERR1102998,11.5468,20,34.0542,-58.1635,-45.0943,a
ERR1102999,11.0191,40,34.0192,-58.1635,-45.0943,a
ERR1103000,9.8878,60,33.9984,-58.1635,-45.0943,a
ERR1103001,4.5381,100,33.9945,-58.1635,-45.0943,a
ERR1103002,2.6401,200,34.0522,-58.1635,-45.0943,a
ERR1103003,19.4843,20,35.3147,-50.577,-39.7982,a
ERR1103004,20.4096,40,35.7692,-50.577,-39.7982,a
ERR1103005,20.1638,60,35.7227,-50.577,-39.7982,a
ERR1103006,17.9377,100,35.6648,-50.577,-39.7982,a
ERR1103007,15.6561,200,35.6315,-50.577,-39.7982,a
ERR1103008,22.1354,20,35.8433,-42.965,-34.2385,a
ERR1103009,22.0009,40,35.8365,-42.965,-34.2385,a
ERR1103010,19.1143,60,35.8635,-42.965,-34.2385,a
ERR1103011,17.8985,75,35.9067,-42.965,-34.2385,a
ERR1103012,16.7723,100,35.8273,-42.965,-34.2385,a
ERR1103013,15.4926,200,35.6843,-42.965,-34.2385,a
ERR1103014,22.6333,20,35.7513,-38.9948,-30.9992,a
ERR1103015,22.3857,40,35.6741,-38.9948,-30.9992,a
ERR1103016,18.5791,70,35.9011,-38.9948,-30.9992,a
ERR1103017,17.04,100,35.861,-38.9948,-30.9992,a
ERR1103018,15.233,200,35.5957,-38.9948,-30.9992,a
ERR1103019,25.9999,20,36.7662,-39.0007,-25.9983,a
ERR1103020,25.9995,40,36.7657,-39.0007,-25.9983,a
ERR1103021,25.0496,60,36.7622,-39.0007,-25.9983,a
ERR1103022,22.3247,100,36.8817,-39.0007,-25.9983,a
ERR1103023,19.6619,150,36.3388,-39.0007,-25.9983,a
ERR1103024,17.1958,200,35.8555,-39.0007,-25.9983,a
ERR1103025,26.5834,20,37.0697,-38.0183,-24.7537,a
ERR1103026,26.5726,40,37.0698,-38.0183,-24.7537,a
ERR1103027,25.4363,60,37.2761,-38.0183,-24.7537,a
ERR1103028,23.883,100,37.1826,-38.0183,-24.7537,a
ERR1103029,18.8261,200,36.1394,-38.0183,-24.7537,a
ERR1103030,27.1538,20,37.3155,-35.402,-21.2293,a
ERR1103031,22.9328,120,37.0179,-35.402,-21.2293,a
ERR1103032,27.377,20,37.3907,-33.7298,-18.6455,a
ERR1103033,27.3656,40,37.3905,-33.7298,-18.6455,a
