OTU ID,Phylum,Class,Order,Family,Genus,Species,Phototroph,Copy Number,Copy Number Classification Level,ERR1102990,ERR1102991,ERR1102992,ERR1102993,ERR1102994,ERR1102995,ERR1102996,ERR1102997,ERR1102998,ERR1102999,ERR1103000,ERR1103001,ERR1103002,ERR1103003,ERR1103004,ERR1103005,ERR1103006,ERR1103007,ERR1103008,ERR1103009,ERR1103010,ERR1103011,ERR1103012,ERR1103013,ERR1103014,ERR1103015,ERR1103016,ERR1103017,ERR1103018,ERR1103019,ERR1103020,ERR1103021,ERR1103022,ERR1103023,ERR1103024,ERR1103025,ERR1103026,ERR1103027,ERR1103028,ERR1103029,ERR1103030,ERR1103031,ERR1103032,ERR1103033,ERR1103034,ERR1103035,ERR1103036,ERR1103037,ERR1103038,ERR1103039,ERR1103040,ERR1103041,ERR1103042,ERR1103043,ERR1103044,ERR1103045,ERR1103046,ERR1103047,ERR1103048,ERR1103049,ERR1103050,ERR1103051,ERR1103052,ERR1103053,ERR1103054,ERR1103055,ERR1103056,ERR1103057,ERR1103058,ERR1103059,ERR1103060,ERR1103061,ERR1103062,ERR1103063,ERR1103064,ERR1103065,ERR1103066,ERR1103067,ERR1103068,ERR1103069,ERR1103070,ERR1103071,ERR1103072,ERR1103073,ERR1103074,ERR1103075,ERR1103076,ERR1103077,ERR1103078,ERR1103079,ERR1103080,ERR1103081,ERR1103082,ERR1103083,ERR1103084,ERR1103085,ERR1103086,ERR1103087,ERR1103088,ERR1103089,ERR1103090,ERR1103091,ERR1103092,ERR1103093,ERR1103094,ERR1103095,ERR1103096,ERR1103097,ERR1103098,ERR1103099,ERR1103100,ERR1103101,ERR1103102,ERR1103103,ERR1103104,ERR1103105,ERR1103106,ERR1103107,ERR1103108,ERR1103109,ERR1103110,ERR1103111,ERR1103112,ERR1103113,ERR1103114,ERR1103115,ERR1103116,ERR1103117,ERR1103118,ERR1103119,ERR1103120,ERR1103121,ERR1103122,ERR1103123,ERR1103124,ERR1103125,ERR1103126,ERR1103127,ERR1103128,ERR1103129,ERR1103130,ERR1103131,ERR1103132,ERR1103133,ERR1103134,ERR1103135,ERR1103136,ERR1103137,ERR1103138,ERR1103139,ERR1103140,ERR1103141,ERR1103142,ERR1103143,ERR1103144,ERR1103145,ERR1103146,ERR1103147,ERR1103148,ERR1103149,ERR1103150,ERR1103151,ERR1103152,ERR1103153,ERR1103154,ERR1103155,ERR1103156,ERR1103157,ERR1103158,ERR1103159,ERR1103160,ERR1103161,ERR1103162,ERR1103163,ERR1103164,ERR1103165,ERR1103166,ERR1103167,ERR1103168,ERR1103169,ERR1103170,ERR1103171,ERR1103172,ERR1103173,ERR1103174,ERR1103175,ERR1103176,ERR1103177,ERR1103178,ERR1103179,ERR1103180,ERR1103181,ERR1103182,ERR1103183,ERR1103184,ERR1103185,ERR1103186,ERR1103187,ERR1103188,ERR1103189,ERR1103190,ERR1103191,ERR1103192,ERR1103193,ERR1103194,ERR1103195,ERR1103196,ERR1103197,ERR1103198,ERR1103199,ERR1103200,ERR1103201,ERR1103202,ERR1103203,ERR1103204,ERR1103205,ERR1103206,ERR1103207,ERR1103208,ERR1103209,ERR1103210,ERR1103211,ERR1103212,ERR1103213,ERR1103214,ERR1103215,ERR1103216,ERR1103217,ERR1103218,ERR1103219,ERR1103220,ERR1103221,ERR1103222,ERR1103223,ERR1103224,ERR1103225,ERR1103226,ERR1103227,ERR1103228,ERR1103229,ERR1103230,ERR1103231,ERR1103232,ERR1103233,ERR1103234,ERR1103235,ERR1103236,ERR1103237,ERR1103238,ERR1103239,ERR1103240,ERR1103241,ERR1103242,ERR1103243,ERR1103244,ERR1103245,ERR1103246,ERR1103247,ERR1103248,ERR1103249,ERR1103250,ERR1103251,ERR1103252,ERR1103253,ERR1103254,ERR1103255,ERR1103256,ERR1103257,ERR1103258,ERR1103259,ERR1103260,ERR1103261,ERR1103262,ERR1103263,ERR1103264,ERR1103265,ERR1103266,ERR1103267,ERR1103268,ERR1103269,ERR1103270,ERR1103271,ERR1103272,ERR1103273,ERR1103274,ERR1103275,ERR1103276,ERR1103277,ERR1103278,ERR1103279,ERR1103280,ERR1103281,ERR1103282,ERR1103283,ERR1103284,ERR1103285,ERR1103286,ERR1103287,ERR1103288,ERR1103289,ERR1103290,ERR1103291,ERR1103292,ERR1103293,ERR1103294,ERR1103295,ERR1103296,ERR1103297,ERR1103298,ERR1103299,ERR1103300,ERR1103301,ERR1103302,ERR1103303,ERR1103304,ERR1103305,ERR1103306,ERR1103307,ERR1103308,ERR1103309,ERR1103310,ERR1103311,ERR1103312,ERR1103313,ERR1103314,ERR1103315,ERR1103316,ERR1103317,ERR1103318,ERR1103319,ERR1103320,ERR1103321,ERR1103322,ERR1103323,ERR1103324,ERR1103325,ERR1103326,ERR1103327,ERR1103328,ERR1103329,ERR1103330,ERR1103331,ERR1103332,ERR1103333,ERR1103334,ERR1103335,ERR1103336,ERR1103337,ERR1103338,ERR1103339,ERR1103340,ERR1103341,ERR1103342,ERR1103343,ERR1103344,ERR1103345,ERR1103346,ERR1103347,ERR1103348,ERR1103349,ERR1103350,ERR1103351,ERR1103352,ERR1103353,ERR1103354,ERR1103355,ERR1103356,ERR1103357,ERR1103358,ERR1103359,ERR1103360,ERR1103361,ERR1103362,ERR1103363,ERR1103364,ERR1103365,ERR1103366,ERR1103367,ERR1103368,ERR1103369,ERR1103370,ERR1103371,ERR1103372,ERR1103373,ERR1103374
OTU_128,Acidobacteria,,,,,,0,1.19,Phylum,0,1,0,1,1,0,0,0,1,2,2,0,3,0,0,1,7,161,0,2,1,1,19,244,0,0,9,132,659,1,0,2,26,340,419,1,3,3,18,342,3,3,1,0,4,56,501,0,1,0,1,10,305,2,1,2,36,287,1,1,3,2,57,0,0,15,191,3,1,3,17,97,1,1,2,120,124,0,0,0,25,12,2,2,18,40,83,63,0,3,1,1,4,60,93,56,5,0,10,108,110,0,1,27,90,3,2,1,3,162,1,18,45,99,159,0,10,16,14,283,1,2,1,15,189,0,1,2,3,213,1,1,1,3,1,1,0,5,0,1,1,2,3,113,9,7,0,2,0,0,0,1,36,66,1,1,60,1,342,0,1,1,17,234,359,18,1,2,18,290,0,5,1,1,1,1,470,0,0,1,1,5,128,1,3,5,7,155,1,67,1,3,41,0,0,3,174,1,0,3,7,1,6,8,159,336,3,1,41,28,5,8,52,65,62,2,2,5,20,56,1,0,0,47,48,29,1,0,0,14,20,0,0,14,35,2,2,22,66,177,1,0,0,4,60,0,1,2,22,52,0,0,4,6,12,13,12,11,11,7,2,6,137,0,0,2,0,7,2,0,2,2,35,0,3,0,2,1,137,0,0,3,10,93,0,0,3,5,91,119,0,0,0,3,75,2,4,0,1,0,20,230,0,7,2,4,9,210,0,1,2,10,50,3,1,5,4,48,4,1,0,36,0,3,3,1,38,4,6,5,86,4,4,5,41,4,7,15,32,35,0,9,4,8,46,3,1,0,10,36,28,4,1,5,17,18,2,1,7,11,1,1,1,6,48,4,4,7,36,183,1,1,5,8,47,7,4,4,2,28,3,2,3,7,30
OTU_129,Acidobacteria,,,,,Acidobacteria_bacterium_DG1540,0,1.19,Phylum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_130,Acidobacteria,,,,Thermoanaerobaculum,,0,1.19,Phylum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,22,14,5,4,1,14,4,18,96,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_131,Acidobacteria,Acidobacteriia,,,,,0,1.58,Class,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,6,4,9,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,2,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,5,1,0,0,1,0,1,0,1,0,1,0,0,2,1,0,0,0,0,0,0,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,4
OTU_132,Acidobacteria,Acidobacteriia,Acidobacteriales,,,,0,1.16,Order,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,2,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,2,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,2,0,0,0,0,1,2,0,0,0,1,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0
OTU_133,Acidobacteria,Acidobacteriia,Acidobacteriales,Acidobacteriaceae,,,0,1.16,Family,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_134,Acidobacteria,Blastocatellia,,,,,0,1,Class,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,4,0,3,0,1,4,0,0,0,3,4,3,0,0,0,1,2,0,1,0,0,0,6,2,1,0,0,0,0,15,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,13,9,11,0,1,3,2,1,0,0,1,3,0,0,0,0,1,1,8,9,4,10,2,16,2,5,71,0,1,2,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,2,0,0,2,0,1,2,0,0,1,0,0,1,0,0,0,1,1,0,0,0,2,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,1,3,0,0,1,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,2,0,0,0,1,0,1,0,2,0,1,0,1,0,0,0,0,0,2,0,1,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,2,0,1,2,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,4,2,1,1,0,0,4,0,0,0,0,2,1,2,1,0,0,0,7,1,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,51,8
OTU_135,Acidobacteria,Blastocatellia,,,Blastocatella,,0,1,Class,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_136,Acidobacteria,Blastocatellia,,,Chloracidobacterium,,0,1,Genus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_137,Acidobacteria,Blastocatellia,,,Stenotrophobacter,,0,1,Class,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,3,0,1,5,3,3,2,20,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1
