Sample,Depth,Temperature,Nitrate,Phosphate,POC,Oxygen,Salinity,Chl_A_Sat,ChlA_Sat8
2.2009.5m,5m,13.66545,1.088,0.185,259.638409,3.62303,33.33685,1.11265,1.94016
3.2009.5m,5m,14.07105,0.088,0.21,129.929596,3.88054,33.3577,2.77179,0.5918
4.2009.5m,5m,14.5248,0.9275,0.18,106.5675,4.07582,33.45605,0.6783,0.42073
5.2009.5m,5m,16.53055,0.035,0.105,92.625101,4.04212,33.44725,0.42285,0.39538
6.2009.5m,5m,18.6643,2.0715,0.15,67.723211,3.6827,33.532,0.30158,0.22912
7.2009.5m,5m,18.91835,1.3665,0.205,198.769225,3.97068,33.5462,3.48242,5.76131
8.2009.5m,5m,19.24,0.0775,0.045,112.136042,4.64,,0.42942,0.45108
9.2009.5m,5m,21.35,0.092,0.055,71.539853,3.8,33.57,0.32865,0.22401
10.2009.5m,5m,,,,64.26432,,,0.22838,0.21567
11.2009.5m,5m,,,,70.423419,,,0.25893,0.28154
12.2009.5m,5m,,0.619,0.15,129.81653,,,0.4745,0.67679
1.2010.5m,5m,14.96,,,235.195687,,33.1,1.1163,2.12981
2.2010.5m,5m,14.59,0.381542,0.0,109.939653,,33.24,0.65365,0.63286
3.2010.5m,5m,14.86,0.065383,0.0,393.462114,,33.3,1.93465,0.83162
4.2010.5m,5m,15.1212,5.939,0.555,174.099885,5.05802,33.4029,0.68272,0.71904
5.2010.5m,5m,15.0947,0.182,0.17,182.214096,5.34375,33.33555,1.30468,1.31575
6.2010.5m,5m,,0.337,0.17,100.77816,,,0.30893,0.37905
7.2010.5m,5m,17.00085,0.1165,0.16,137.67908,5.60892,33.50225,0.67807,1.02913
8.2010.5m,5m,18.4464,0.0995,0.125,98.57449,4.84354,33.47925,0.71412,0.40244
9.2010.5m,5m,,0.15,0.15,242.752859,,,0.92392,1.09982
10.2010.5m,5m,18.38675,0.2995,0.145,95.190036,3.92192,33.48515,0.4274,
11.2010.5m,5m,15.9502,0.14,0.11,102.197743,4.0327,33.42375,0.97637,0.44836
12.2010.5m,5m,14.82055,0.093,0.16,144.293246,4.11144,33.4013,1.46838,0.82259
1.2011.5m,5m,12.7256,2.230666,0.786666,465.40997,4.40347,33.2197,7.32448,21.77576
2.2011.5m,5m,,,,11.484264,,,1.07052,1.32458
3.2011.5m,5m,13.1843,0.0,0.14742,70.52767,4.87661,33.5129,5.02717,1.3618
4.2011.5m,5m,16.3206,0.0,0.189936,7.1656647,3.50632,33.4063,0.81342,0.8034
5.2011.5m,5m,15.9342,0.0,0.297368,17.78177,3.75533,33.4291,0.84082,0.93552
6.2011.5m,5m,18.4651,0.0,0.16960958,6.003615,3.67913,33.545,0.51372,0.40336
7.2011.5m,5m,,,,5.398616,,,0.30393,0.35138
8.2011.5m,5m,18.535,0.0,0.1947064,5.421209,3.60282,33.5773,0.30992,0.34248
9.2011.5m,5m,,,,4.0771356,,,0.40121,0.43033
10.2011.5m,5m,17.1366,0.0,0.2181088,2.6080685,5.25544,33.4035,0.56398,0.30684
11.2011.5m,5m,15.9854,,,6.738521,5.13928,33.3709,0.35273,0.36797
12.2011.5m,5m,15.3205,0.0,0.2337153,5.346955,5.02373,33.3575,0.32284,0.31539
1.2012.5m,5m,14.5337,,,40.388096,6.20064,33.3258,0.65196,1.2374
2.2012.5m,5m,14.4827,0.58738944,0.31786104,10.09675,5.79092,33.4017,0.63298,0.70594
3.2012.5m,5m,14.1326,0.0,0.23996966,194.23975,6.09945,33.4728,2.056,1.02568
4.2012.5m,5m,,,,,,,1.48303,
5.2012.5m,5m,,,,16.075497,,,0.4251,0.74344
6.2012.5m,5m,16.7884,0.0,0.27025558,224.46512,5.79783,33.5546,0.29173,0.26123
7.2012.5m,5m,18.0948,,,4.209793,5.51897,33.5699,0.2901,0.22492
8.2012.5m,5m,20.8995,0.0,0.21377622,1.036051,5.30536,33.5806,0.18505,0.1993
9.2012.5m,5m,20.3584,0.24212628,0.21695436,2.858858,5.27966,33.5388,0.16426,0.15107
10.2012.5m,5m,21.1048,0.17187933,0.22460228,2.8027546,5.16863,33.6361,0.19697,0.18863
11.2012.5m,5m,17.5967,,,8.442102,5.38402,33.6269,0.27236,0.13468
12.2012.5m,5m,17.5967,0.039441,0.094684,1.8604612,5.38402,33.6269,0.26456,0.23167
1.2013.5m,5m,13.3976,2.051081842,0.332118,57.092552,5.69879,33.5022,0.85673,0.77221
2.2013.5m,5m,13.9365,0.067219661,0.197576,19.321674,5.90818,33.4983,0.59356,0.60653
3.2013.5m,5m,14.2089,,0.146219,60.546528,6.3963,33.5178,0.89902,1.05908
4.2013.5m,5m,15.7838,0.051711,0.177677,14.16854,6.04211,33.5719,1.21447,0.61386
5.2013.5m,5m,17.8021,0.151567398,0.205472,10.417104,5.5627,33.5591,0.4447,0.34579
6.2013.5m,5m,18.6393,0.856418,0.175988,3.2765968,5.50427,33.61,0.32601,0.32864
7.2013.5m,5m,19.8243,,0.159347,6.2558045,5.34574,33.6238,0.23447,0.28346
8.2013.5m,5m,18.298,,0.199649,4.9886007,5.58728,33.5795,0.2652,0.27662
9.2013.5m,5m,18.7195,0.112866935,0.190898,2.4531872,5.72964,33.4983,0.31346,0.35724
10.2013.5m,5m,18.6248,0.05011596,0.177747,4.671314,5.51859,33.5992,,0.24067
11.2013.5m,5m,17.4031,0.035379,0.189374,3.6731987,5.53313,33.5808,,
12.2013.5m,5m,,0.081504214,0.213953,1.7749363,,,,
2.2009.150m,150m,9.61867,,,259.638409,1.12441,34.07657,1.11265,1.94016
3.2009.150m,150m,9.4145,,,129.929596,1.40535,34.07177,2.77179,0.5918
4.2009.150m,150m,8.98877,,,106.5675,1.43347,34.0771,0.6783,0.42073
5.2009.150m,150m,9.4327,,,92.625101,1.1965,34.15143,0.42285,0.39538
6.2009.150m,150m,9.39547,,,67.723211,1.8124,34.01653,0.30158,0.22912
