Sample,Insolation,Temperature,Salinity,Oxygen,pH,DIC,Chlorophylle-a,Ammonia,Nitrogen,Phosphate,Silicate
PID126,219.38,8.2,32.0,99.4,7.93,1984.69,3.03,97.61,0.04,0.07,2.09
PID127,231.74,7.4,32.0,99.8,7.92,1971.0,3.61,390.63,0.02,0.05,1.79
PID129,245.96,9.4,32.0,102.6,7.91,1989.22,3.25,156.5,0.0,0.04,1.34
PID130,261.79,9.3,31.0,98.3,7.9,1935.01,3.9,226.96,0.0,0.05,2.63
PID131,278.76,8.9,32.0,104.9,7.92,1967.62,4.1,167.46,0.0,0.04,1.92
PID132,296.61,9.9,35.0,103.5,7.93,2073.19,2.45,174.05,0.0,0.04,0.92
PID133,314.88,12.2,34.0,97.9,7.91,2049.99,2.69,136.99,0.0,0.06,1.38
PID134,333.18,12.5,34.0,102.5,7.92,2079.53,2.3,438.29,0.0,0.04,1.29
PID135,351.32,13.8,29.0,102.6,7.9,1956.55,3.49,580.68,0.09,0.06,1.86
PID136,368.83,15.5,34.0,104.4,7.94,2093.63,2.97,172.84,0.0,0.03,0.55
PID137,385.59,11.8,30.0,100.9,7.88,1956.47,5.21,240.85,0.0,0.03,3.0
PID140,429.12,19.3,35.0,104.0,7.97,2108.42,2.61,316.35,0.0,0.05,0.56
PID141,441.0,24.0,33.0,95.7,7.95,2106.09,3.69,356.04,0.08,0.07,2.07
PID142,451.41,22.0,34.0,102.1,7.99,2134.47,2.87,283.03,0.07,0.07,1.47
PID143,460.38,21.5,35.0,99.0,7.96,2184.09,5.32,160.19,0.0,0.1,5.89
PID144,467.67,22.3,35.0,90.6,7.97,2157.36,2.85,103.53,0.0,0.11,2.92
PID145,473.88,25.8,35.0,101.7,7.97,2189.13,4.74,118.24,0.04,0.07,5.32
PID146,478.49,26.8,34.0,95.6,8.01,2187.96,5.01,83.2,0.0,0.04,5.26
PID147,481.51,26.5,35.0,103.5,8.05,2160.13,4.3,174.29,0.0,0.07,2.64
PID149,483.07,26.4,36.0,100.7,8.06,2177.76,3.13,181.56,0.0,0.12,2.99
PID207,483.16,27.1,36.0,99.2,8.03,2114.98,3.53,226.86,0.0,0.06,4.85
PID232,481.74,27.6,37.0,96.1,8.06,2164.43,5.19,132.45,0.0,0.07,5.92
PID238,478.78,27.5,37.0,105.5,8.04,2156.75,4.25,149.82,0.0,0.06,2.75
PID239,474.4,28.7,37.0,103.4,8.05,2138.96,4.6,168.88,0.0,0.07,3.45
PID240,468.56,28.2,37.0,100.2,8.03,2114.5,4.36,142.35,0.0,0.14,1.9
PID241,461.25,28.0,38.0,93.6,8.02,2142.25,5.19,113.65,0.0,0.17,6.1
PID242,452.49,29.4,38.0,99.2,8.04,2129.99,3.62,181.59,0.0,0.09,1.81
PID243,442.52,29.7,35.0,92.1,8.04,2141.63,6.67,247.18,0.0,0.09,5.48
PID244,431.24,29.0,34.0,103.0,8.08,2106.39,3.26,193.37,0.0,0.07,2.42
PID245,418.88,27.8,35.0,90.0,8.02,2156.02,5.81,319.94,0.0,0.13,4.36
PID246,407.18,27.3,31.0,94.1,7.91,1926.75,10.85,1507.72,1.53,0.09,25.27
PID247,392.56,28.0,31.0,97.1,7.94,1986.3,7.96,218.94,0.09,0.03,13.95
PID248,377.01,27.4,32.0,90.5,7.98,2072.11,6.09,222.67,0.0,0.09,4.89
PID249,360.49,24.2,32.0,96.6,7.9,2055.92,9.45,672.98,0.55,0.12,20.19
PID250,343.42,24.2,28.0,88.1,7.94,1964.2,4.81,3583.6,0.6,0.29,36.9
PID251,325.97,20.7,29.5,99.3,8.0,2001.58,11.46,147.61,0.5,0.07,8.87
PID252,305.7,21.3,30.0,90.3,7.98,1982.46,6.37,473.41,0.05,0.13,3.67
PID253,290.77,22.7,32.0,93.8,8.04,2031.3,3.46,455.1,0.05,0.23,1.45
PID255,257.46,15.6,31.0,94.8,7.96,2021.82,4.57,200.13,0.0,0.09,4.74
